2.1981e+05,13138,16567,3.0455e+05,4.4397e+05,16659,2897,166,1161.1,2075,9809,4.207e+05,927,364,1.3261e+06,1
3.2994e+05,94300,23679,2318,3.137e+05,1.1957e+05,1.2869e+05,4258,960,14893,3356,3.544e+05,2585,67874,1.3328e+06,1
65850,497,17338,8492,20442,214,52699,5357,142,231,665,42574,1334,5310,2.025e+05,1
3.318e+05,520,37428,3158,1.0875e+05,5044,1.6075e+05,1480,123,628.28,6288.7,17302,1631,46502,6.7467e+05,1
40740,2499.3,18939,31830,32036,3169,4929,135,220.87,394.73,3951.1,16797,9925,2397,1.4439e+05,1
62667,9033.2,38011,17837,83586,11454,28371,693,2421,3292,14280,1.3896e+05,5362,6594,3.7906e+05,1
1.0735e+05,270.31,1.1177e+05,10028,2.6278e+05,31.862,75032,10889,1140.9,26.723,77224,55425,16036,24591,6.9792e+05,1
2189.5,1193.6,1790,457.25,26422,1513.4,11760,1141.7,505,188.52,1886.9,951,558,826,43403,1
1.0651e+05,1993,18967,16172,90317,5813,71373,2784,124,2045.5,20474,10465,3119,12726,3.2929e+05,1
3.9236e+05,19949,58900,22979,2.2865e+05,4171.1,80299,5745.2,5791.2,222.78,17571,2.9299e+05,34867,17725,1.0736e+06,1
89178,796,37929,3178,84058,95,16217,11741,686,1640.6,16421,1.4069e+05,17921,13009,3.8663e+05,1
8.6394e+05,13969,32725,2175,2.2912e+05,17711,31603,1791,405,2206.1,260,14227,5319,23585,1.0293e+06,1
15775,3200,28523,732.82,14210,1313,16755,8690,112,267,3024.2,31338,2375,3248,1.1537e+05,1
21207,2055,7545,1116.1,9268,372,5163,1687,39,6,4605.9,4416,3224,1052,50250,1
46436,136,23644,1500,28926,2557.1,8580,6990,178.22,318.51,3188.2,8774,3303,1926,1.2716e+05,1
1.6103e+05,83,20919,4985,18776,5,7893,1302,1507.9,2694.8,26973,3275,297,7219,2.3724e+05,1
1.7786e+05,2243,66102,3121,70824,509,19513,18109,453,995,31089,26518,12324,5932,3.9537e+05,1
